exp,prod,sum,const,nodes,unique_feats,filename,algo
0,0,0,8,8,8,COIL20_new/COIL20_run_5/COIL20-0.09127597762500983-16.0.tree,NEW
6,6,3,32,47,26,COIL20_new/COIL20_run_5/COIL20-0.028470196177062312-397.0.tree,NEW
6,3,2,28,39,22,COIL20_new/COIL20_run_5/COIL20-0.031470803990610086-104.0.tree,NEW
1,1,0,17,19,17,COIL20_new/COIL20_run_5/COIL20-0.0552640379312917-46.0.tree,NEW
1,1,0,16,18,16,COIL20_new/COIL20_run_5/COIL20-0.05681291452418208-44.0.tree,NEW
6,1,2,25,34,22,COIL20_new/COIL20_run_5/COIL20-0.03492862266189711-92.0.tree,NEW
6,2,3,28,39,26,COIL20_new/COIL20_run_5/COIL20-0.02934989567031787-190.0.tree,NEW
6,6,3,32,47,28,COIL20_new/COIL20_run_5/COIL20-0.028680858297935652-252.0.tree,NEW
7,9,6,38,60,31,COIL20_new/COIL20_run_5/COIL20-0.02765729795439348-574.0.tree,NEW
0,0,0,5,5,5,COIL20_new/COIL20_run_5/COIL20-0.1272081214136671-10.0.tree,NEW
6,4,2,29,41,23,COIL20_new/COIL20_run_5/COIL20-0.030420485878232484-115.0.tree,NEW
0,0,0,7,7,7,COIL20_new/COIL20_run_5/COIL20-0.09946692888814396-14.0.tree,NEW
4,1,1,24,30,21,COIL20_new/COIL20_run_5/COIL20-0.03650237070571638-76.0.tree,NEW
1,0,0,1,2,1,COIL20_new/COIL20_run_5/COIL20-0.27782004527163007-4.0.tree,NEW
1,1,1,20,23,18,COIL20_new/COIL20_run_5/COIL20-0.04781045066696449-52.0.tree,NEW
1,1,1,19,22,17,COIL20_new/COIL20_run_5/COIL20-0.05055015276846281-50.0.tree,NEW
6,3,3,29,41,27,COIL20_new/COIL20_run_5/COIL20-0.029045057381325845-193.0.tree,NEW
5,2,2,26,35,23,COIL20_new/COIL20_run_5/COIL20-0.03536763404501142-83.0.tree,NEW
6,7,6,36,55,29,COIL20_new/COIL20_run_5/COIL20-0.02772860542886979-540.0.tree,NEW
7,1,2,26,36,21,COIL20_new/COIL20_run_5/COIL20-0.03128892568373309-106.0.tree,NEW
